Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
Hispanic Advocacy and Community Empowerment through Research,1988,"2314 University Ave W Ste 12 Saint Paul, MN 55114-1863",MN,SAINT PAUL,RAMSEY,Advocacy,44.962752,-93.19532,geocodio,"2314 University Ave W Ste 12 Saint Paul, MN 55114-1863","2314 University Ave W, Ste 12, Saint Paul, MN 55114",1
Latino Educational and Recreational Network,1986,"Salem, Or 97303",OR,SALEM,MARION,CSO,44.992731,-123.01672,geocodio,"Salem, Or 97303","Salem, OR 97303",1
Hispanic Health Care Task Force,2014,,UT,SALT LAKE CITY,SALT LAKE,CSO,40.756095,-111.900719,geocodio,"SALT LAKE CITY, UT","Salt Lake City, UT 84101",1
Utah Coalition of LA Raza,1992,,UT,SALT LAKE CITY,SALT LAKE,Advocacy,40.756095,-111.900719,geocodio,"SALT LAKE CITY, UT","Salt Lake City, UT 84101",1
Hispanic Association of Colleges And Universities,1986,"8415 Datapoint Dr., Ste. 400 San Antonio, TX 78229",TX,SAN ANTONIO,BEXAR,Hybrid,29.518699,-98.569529,geocodio,"8415 Datapoint Dr., Ste. 400 San Antonio, TX 78229","8415 Datapoint Dr, Ste 400, San Antonio, TX 78229",1
Hispanic Healthy Processes,2011,,TX,SAN ANTONIO,BEXAR,CSO,29.468413,-98.528889,geocodio,"SAN ANTONIO, TX","San Antonio, TX 78201",1
Hispanic Leadership Development Foundation,2000,,TX,SAN ANTONIO,BEXAR,Hybrid,29.468413,-98.528889,geocodio,"SAN ANTONIO, TX","San Antonio, TX 78201",1
Hispanic Religious Partnership for Community Health,1997,"5415 Bandera Rd Ste 504 San Antonio, TX 78238-1958",TX,SAN ANTONIO,BEXAR,CSO,29.481327,-98.592826,geocodio,"5415 Bandera Rd Ste 504 San Antonio, TX 78238-1958","5415 Bandera Rd, Ste 504, San Antonio, TX 78238",1
Hispanic Sports Foundation For Education,2006,"166 W Ligustrum Dr San Antonio, TX 78228-4048",TX,SAN ANTONIO,BEXAR,CSO,29.46246,-98.564993,geocodio,"166 W Ligustrum Dr San Antonio, TX 78228-4048","166 W Ligustrum Dr, San Antonio, TX 78228",1
Latino Educational Equity Partnerships,2015,,TX,SAN ANTONIO,BEXAR,CSO,29.468413,-98.528889,geocodio,"SAN ANTONIO, TX","San Antonio, TX 78201",1
National Association for Latino Community Asset Builders,2002,"San Antonio, TX 78246-1266",TX,SAN ANTONIO,BEXAR,CSO,29.437532,-98.461582,geocodio,"San Antonio, TX 78246-1266","San Antonio, TX 78246",1
National Latino Childrens Institute,1997,"118 Broadway St Ste 615, San Antonio, TX 78205-2007",TX,SAN ANTONIO,BEXAR,Advocacy,29.427315,-98.487524,geocodio,"118 Broadway St Ste 615, San Antonio, TX 78205-2007","118 Broadway St, Ste 615, San Antonio, TX 78205",1
National Organization for Mexican American Rights,1998,"San Antonio, Texas",TX,SAN ANTONIO,BEXAR,Advocacy,29.468413,-98.528889,geocodio,"San Antonio, Texas","San Antonio, TX 78201",1
Chicano Federation of San Diego County,1969,"3180 University Ave., Ste. 317, San Diego, CA 92104",CA,SAN DIEGO,SAN DIEGO,Hybrid,32.748772,-117.125573,geocodio,"3180 University Ave., Ste. 317, San Diego, CA 92104","3180 University Ave, Ste 317, San Diego, CA 92104",1
Latino Policy Institute of San Diego,2004,,CA,SAN DIEGO,SAN DIEGO,CSO,32.724103,-117.170912,geocodio,"SAN DIEGO, CA","San Diego, CA 92101",1
Pacto Latino AIDS Organization,1994,"2828 University Ave #107, San Diego, CA 92104",CA,SAN DIEGO,SAN DIEGO,CSO,32.748643,-117.132991,geocodio,"2828 University Ave #107, San Diego, CA 92104","2828 University Ave, Ste 107, San Diego, CA 92104",1
Raza Education Fund,2009,,CA,SAN DIEGO,SAN DIEGO,CSO,32.724103,-117.170912,geocodio,"SAN DIEGO, CA","San Diego, CA 92101",1
Accion Latina,1970,,CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy,37.776646,-122.417481,geocodio,"SAN FRANCISCO, CA","San Francisco, CA 94101",1
Centro Latino de San Francisco,1972,"1656 15th St., San Fransisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.766806,-122.421267,geocodio,"1656 15th St., San Fransisco, CA 94103","1656 15th St, San Francisco, CA 94103",1
Instituto Familiar de la Raza,1978,"2919 Mission Street, San Francisco, CA 94110",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.750304,-122.417913,geocodio,"2919 Mission Street, San Francisco, CA 94110","2919 Mission St, San Francisco, CA 94110",1
Instituto Laboral de la Raza,1982,"2947 16th St., San Francisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy,37.764895,-122.418485,geocodio,"2947 16th St., San Francisco, CA 94103","2947 16th St, San Francisco, CA 94103",1
La Raza Centro Legal San Francisco,1973,,CA,SAN FRANCISCO,SAN FRANCISCO,Hybrid,37.776646,-122.417481,geocodio,"SAN FRANCISCO, CA","San Francisco, CA 94101",1
La Raza Community Resource Center,1974,,CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.776646,-122.417481,geocodio,"SAN FRANCISCO, CA","San Francisco, CA 94101",1
Latina Breast Cancer Agency,2002,"4271 Mission Street, 2nd FL, San Francisco, CA 94112",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.728965,-122.430819,geocodio,"4271 Mission Street, 2nd FL, San Francisco, CA 94112","4271 Mission St, Fl 2, San Francisco, CA 94112",1
Latino Commission on Alcohol and Drug Abuse Services of San Mateo County,1997,"301 Grand Ave #301, South San Francisco, CA 94080",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.655002,-122.410376,geocodio,"301 Grand Ave #301, South San Francisco, CA 94080","301 Grand Ave, #, South San Francisco, CA 94080",1
Latino Community Foundation,1989,"225 Bush St Ste 500 San Francisco, CA 94104-4224",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy,37.790937,-122.401337,geocodio,"225 Bush St Ste 500 San Francisco, CA 94104-4224","225 Bush St, Ste 500, San Francisco, CA 94104",1
California Latino Environmental Advocacy Network Clean,2014,,CA,SAN GABRIEL,LOS ANGELES,Advocacy,34.114772,-118.089431,geocodio,"SAN GABRIEL, CA","San Gabriel, CA 91775",1
Hispanic Foundation of Silicon Valley,1990,"1922 The Alameda, Suite 217 San Jose, CA 95126-1430",CA,SAN JOSE,SANTA CLARA,CSO,37.341474,-121.923365,geocodio,"1922 The Alameda, Suite 217 San Jose, CA 95126-1430","1922 The Alameda, Ste 217, San Jose, CA 95126",1
Latina Coalition of Silicon Valley,1998,"1346 The Alameda, Ste 7-293, San Jos?, CA 95126",CA,SAN JOSE,SANTA CLARA,CSO,37.33287,-121.912826,geocodio,"1346 The Alameda, Ste 7-293, San Jos?, CA 95126","1346 The Alameda, Ste 7-293, San Jose, CA 95126",1
Los Bomberos of Northern California,1972," 425 E Santa Clara St., Ste. 310 San Jose, CA 95113",CA,SAN JOSE,SANTA CLARA,CSO,37.340748,-121.88166,geocodio,"425 E Santa Clara St., Ste. 310 San Jose, CA 95113","425 E Santa Clara St, Ste 310, San Jose, CA 95113",1
Mexican American Community Services Agency,1964,"660 Sinclair Dr, San Jose, CA 95116",CA,SAN JOSE,SANTA CLARA,CSO,37.349658,-121.841124,geocodio,"660 Sinclair Dr, San Jose, CA 95116","660 Sinclair Dr, San Jose, CA 95116",1
